Name en-US,Name zh-CN,Alias en-US,Alias zh-CN,Group en-US,Group zh-CN,Subgroup en-US,Subgroup zh-CN,Video FX,Transition FX,Media Generator FX,Composite Mode FX,UID
(Legacy) Text,(自带) 文字,,(继承) 文字、(旧版) 文字,VEGAS,VEGAS,(DXT FX),(DXT 效果),,,√,,{0FE8789D-0C47-442A-AFB0-0DAF97669317}
3D Blow Apart,NB_3D爆炸,,,NewBlue OFX,NewBlue OFX,NewBlue Transitions,NewBlue 转场,,√,,,{Svfx:com.NewBlue.TR3DBlowApart}
3D Blow Apart,NB_3E 3D吹开,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),,√,,,{94604CEC-B622-4BF1-BA35-22583D1A049F}
3D Bouncing Cubes,NB_3E 3D跳动的立方体,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),,√,,,{3F308FC0-D5D0-498D-9D90-FA1C53984E29}
3D Bouncing Cubes,NB_弹性立方体,,,NewBlue OFX,NewBlue OFX,NewBlue Transitions,NewBlue 转场,,√,,,{Svfx:com.NewBlue.TR3DBouncingCubes}
3D Bouncing Frames,NB_3E 3D跳跃的画框,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),,√,,,{B5AB247A-0E95-4EAD-9D68-8D56BB0F740E}
3D Bouncing Frames,NB_弹性框,,,NewBlue OFX,NewBlue OFX,NewBlue Transitions,NewBlue 转场,,√,,,{Svfx:com.NewBlue.TR3DBouncingFrames}
3D Box Explode,NB_3E 3D盒状爆炸,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),,√,,,{C4AC814B-8EF0-4942-92BA-663BF216068F}
3D Box Explode,NB_箱子爆炸,,,NewBlue OFX,NewBlue OFX,NewBlue Transitions,NewBlue 转场,,√,,,{Svfx:com.NewBlue.TR3DBoxExplode}
3D Box Fold,NB_3T 3D盒状折叠,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),,√,,,{12090C0B-A3F0-424A-A057-7D5945079B83}
3D Box Fold,NB_箱子折叠,,,NewBlue OFX,NewBlue OFX,NewBlue Transitions,NewBlue 转场,,√,,,{Svfx:com.NewBlue.TR3DBoxFold}
3D Checker Board,NB_3D棋盘,,,NewBlue OFX,NewBlue OFX,NewBlue Transitions,NewBlue 转场,,√,,,{Svfx:com.NewBlue.TR3DCheckerBoard}
3D Checker Board,NB_3T 3D棋盘格,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),,√,,,{E78D114C-AD29-437C-BDC1-06528AC96170}
3D Comb,NB_3D梳子,,,NewBlue OFX,NewBlue OFX,NewBlue Transitions,NewBlue 转场,,√,,,{Svfx:com.NewBlue.TR3DComb}
3D Comb,NB_3T 3D梳状,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),,√,,,{B7ACDA34-0FE3-4C95-8C3A-C60D6D5EFD32}
3D Confetti,NB_3D纸屑,,,NewBlue OFX,NewBlue OFX,NewBlue Transitions,NewBlue 转场,,√,,,{Svfx:com.NewBlue.TR3DConfetti}
3D Confetti,NB_3E 3D五彩纸屑,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),,√,,,{30A86842-F0C5-46FB-AEE0-E1D47A27BEED}
3D Confetti,NB_SP 3D五彩纸屑,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),,√,,,{FD7F1B44-8FB7-4541-A461-2F47C42C7480}
3D Flip,NB_3D翻转,,,NewBlue OFX,NewBlue OFX,NewBlue Transitions,NewBlue 转场,,√,,,{Svfx:com.NewBlue.TR3DFlip}
3D Flip,NB_3T 3D翻转,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),,√,,,{5EBF82D1-FF31-4498-B31F-6B2413B0AB2E}
3D Fly Away,NB_3D飞行,,,NewBlue OFX,NewBlue OFX,NewBlue Transitions,NewBlue 转场,,√,,,{Svfx:com.NewBlue.TR3DFlyAway}
3D Fly Away,NB_3T 3D飞离,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),,√,,,{0F5E3909-4609-40C3-9197-7E053B514BE7}
3D Grid Blast,NB_3D网格冲击,,,NewBlue OFX,NewBlue OFX,NewBlue Transitions,NewBlue 转场,,√,,,{Svfx:com.NewBlue.TR3DGridBlast}
3D Grid Blast,NB_3E 3D平面爆炸,,,NewBlue DXT,NewBlue DXT,(DXT FX),(DXT 效果),,√,,,{D77294FB-EB00-474F-8888-01B6EE2834DC}
